MonthYear,MedianWaitweeks,Percentile92weeks,NoWithin18Weeks,NoWithin18WeeksWithEstimatesForMissingData,Within18WeeksPercentage,NoOver18Weeks,NoOver18WeeksWithEstimatesForMissingData,No52Weeks,No52WeeksWithEstimatesForMissingData,Over52WeekPercentage,No78Weeks,No78WeeksWithEstimatesForMissingData,No104Weeks,No104WeeksWithEstimatesForMissingData,TotalWaitingmil,TotalWaitingmilWithEstimatesForMissingData,MedianWaitweeks1,thPercentileweeks,NoWithin18Weeks1,No52Weeks1,NoOfPathwaysall,NoOfPathwaysallWithEstimatesForMissingData,MedianWaitweeks2,thPercentileweeks1,NoWithin18Weeks2,No52Weeks2,NoOfPathwaysall1,NoOfPathwaysallWithEstimatesForMissingData1,NoOfNewRTTPeriods,NoOfNewRTTPeriodsWithEstimatesForMissingData,VarName34,MedianWaitweeks3,thPercentileweeks2,NoWithin18Weeks3,No52Weeks3,NoOfPathwaysall2
01-Feb-2012,5.18299930015927,17.5259763048351,2205482,2231213,0.92621700574339,175690,179942,5653,5897,0.00237404101845646,NaN,NaN,NaN,NaN,2381172,2411155,9.09667868177137,24.3450980392157,263624,860,300592,304161.045454545,3.56211303044867,16.107564011017,819537,1062,844432,788797.272727273,NaN,NaN,NaN,8.7361979874898,21.9196148963182,273738,560,300595
01-Mar-2012,5.20816403112229,16.9849211850196,2252479,2278210,0.93310187496194,161490,165742,5149,5393,0.00213300170797554,NaN,NaN,NaN,NaN,2413969,2443952,8.27757685352622,24.1124642516683,286595,727,325489,329228,3.6352031991587,15.7657402458578,866656,1075,889882,831598,NaN,NaN,NaN,8.07665198237885,22.1698337825696,296052,598,325487
01-Apr-2012,5.47755238791423,15.9742535620692,2333158,2358889,0.940537694746245,147506,151758,4213,4457,0.00169833560691815,NaN,NaN,NaN,NaN,2480664,2510647,8.2505418640122,23.8215429791778,238974,468,269646,272875.136363636,4.01743347751999,15.020046854083,766082,635,784789,734452.818181818,NaN,NaN,NaN,8.05059757823557,21.665988700565,247594,373,269625
01-May-2012,5.2922299818744,16.1849865728067,2414369,2440100,0.944330929972957,142329,146581,3308,3552,0.00129385637255554,NaN,NaN,NaN,NaN,2556698,2586681,8.63157542049186,23.7212127943136,290949,549,323566,327305,4.0824415646965,15.2360666951689,926794,717,947285,889001,NaN,NaN,NaN,8.44333114323259,21.6095769682726,299207,434,323565
01-Jun-2012,5.71400807749537,16.5283749499266,2481026,2488077,0.941396143010273,154449,154835,3478,3503,0.00131968620457413,NaN,NaN,NaN,NaN,2635475,2642912,8.64191419141914,23.476672979798,245687,563,276492,276492,4.23584938460469,15.5825260840433,771068,556,789049,729902,NaN,NaN,NaN,8.41948302159429,21.3530113297555,254260,427,276453
01-Jul-2012,5.4680214884696,16.350252837471,2521975,2521975,0.940374378608471,159909,159909,2959,2959,0.00110332885389525,NaN,NaN,NaN,NaN,2681884,2681884,8.7416810097533,23.1697823000473,280476,608,315140,315140,4.11674844998508,15.7364978540772,899714,699,922128,853642,NaN,NaN,NaN,8.50438413361169,20.8179280110752,291318,449,315106
01-Aug-2012,5.84905625992554,16.2962224538777,2492105,2518718,0.945227296346615,144409,161740,2054,2352,0.0007790590150479,NaN,NaN,NaN,NaN,2636514,2680458,8.52168674698795,23.2475070555033,266263,615,298613,298613,4.25642152392007,15.6993739187742,852716,546,873924,805438,NaN,NaN,NaN,8.27831819278077,20.9203721149317,276377,479,298598
01-Sep-2012,5.80489627898415,16.205325336582,2492388,2519001,0.94371138134885,148661,165992,1570,1868,0.00059446076161404,NaN,NaN,NaN,NaN,2641049,2684993,9.08761018205783,23.9860814742968,257325,614,292098,292098,4.71843304424519,16.1328067989677,830950,508,853627,791367,NaN,NaN,NaN,8.80883365200765,21.2013613159387,268994,480,292044
01-Oct-2012,5.30696706223743,16.1539908585768,2498882,2540641,0.947685588658486,137944,156461,1281,1580,0.000485811350464536,NaN,NaN,NaN,NaN,2636826,2697102,8.81657710105986,23.4157335512873,299903,545,337230,337230,4.24751762523191,15.9511422954376,975317,724,1001586,929987,NaN,NaN,NaN,8.59387666473654,20.8902008928571,311964,436,337195
01-Nov-2012,5.39605707604365,16.0409330538775,2455642,2497401,0.947854606623521,135095,153612,1147,1446,0.000442731161055715,NaN,NaN,NaN,NaN,2590737,2651013,8.53311647864904,23.2750231481481,292817,483,327957,327957,4.24737027678204,15.9272647619048,926132,512,950458,881972,NaN,NaN,NaN,8.34641187233177,20.76769987174,303658,352,327945
01-Dec-2012,6.07809303841572,16.2397869778642,2423808,2465567,0.944907969433081,141318,159835,1085,1384,0.000422981171295289,NaN,NaN,NaN,NaN,2565126,2625402,8.12725647138965,22.6150670241287,233445,306,258194,258194,4.00669216061185,15.5119301428895,737714,303,756066,696919,NaN,NaN,NaN,7.98409296958708,20.4810737852429,240083,233,258137
01-Jan-2013,6.04200899994444,16.5302594995366,2393789,2435548,0.943353970199367,143741,162258,842,1141,0.000331818737118379,NaN,NaN,NaN,NaN,2537530,2597806,9.42388247483718,23.5141863699583,282410,468,317524,317524,4.8363152084392,15.9833704555252,929383,333,953847,885361,NaN,NaN,NaN,9.17679597701149,20.9591879350348,293602,370,317545
01-Feb-2013,5.12257581764676,16.4575663530714,2425992,2467751,0.943234293405931,146001,164518,663,962,0.000257776751336415,NaN,NaN,NaN,NaN,2571993,2632269,9.41272000680214,23.3471021860702,264381,340,297264,297264,3.83819275625442,16.0551025822427,836323,306,858432,796172,NaN,NaN,NaN,9.21506523344548,21.2105303030303,273729,262,297242
01-Mar-2013,5.4971103658821,16.5566147649263,2508128,2523274,0.942492479797382,153037,154223,473,474,0.000177741703351728,NaN,NaN,NaN,NaN,2661165,2677497,8.38482897384306,23.3938635247914,263892,470,295886,295886,3.91838121859201,15.9754548381903,834593,259,855801,793541,NaN,NaN,NaN,8.24438358339287,21.531498470948,272192,382,295857
01-Apr-2013,5.56156247181779,15.7696734346964,2596934,2596934,0.944749142173626,151874,151874,391,391,0.000142243474262298,NaN,NaN,NaN,NaN,2748808,2748808,8.64277022190408,23.7948611111111,269126,341,304135,304135,5.07247377346881,16.102898630137,806555,217,830660,830660,NaN,NaN,NaN,8.50329801417444,21.8735936773594,278641,251,304292
01-May-2013,5.60739681738757,16.2141972164643,2699788,2699788,0.948168013112437,147585,147585,434,434,0.000152421196660922,NaN,NaN,NaN,NaN,2847373,2847373,8.8110373059396,23.9685859051128,277255,244,309116,309116,4.8496338870955,15.9176002240538,817245,200,839089,839089,NaN,NaN,NaN,8.67348329925017,22.385972972973,284341,171,309032
01-Jun-2013,5.68473003628685,16.3696899746003,2724755,2724755,0.946357048684289,154449,154449,295,295,0.000102458874049911,NaN,NaN,NaN,NaN,2879204,2879204,8.83155555555556,23.6395027624309,265761,262,298778,298778,5.18716620040692,16.2554624402953,790768,253,812906,812906,NaN,NaN,NaN,8.69068663257852,21.8789712556732,273719,199,298733
01-Jul-2013,5.62841956264263,16.1390589859132,2745065,2745065,0.944460825415131,161424,161424,368,368,0.000126613243676477,NaN,NaN,NaN,NaN,2906489,2906489,8.75775786713287,23.2267816613708,295183,258,331637,331637,5.03713525847349,16.2842783074093,883286,211,909447,909447,NaN,NaN,NaN,8.57508326837219,21.4138993414864,305144,171,331650
01-Aug-2013,6.16466559329398,16.6182389783634,2767545,2767545,0.942309466761957,169436,169436,350,350,0.000119169991225684,NaN,NaN,NaN,NaN,2936981,2936981,8.78938179509563,23.3298698167792,257260,206,288597,288597,5.2132341030579,16.4342656721719,753366,163,776092,776092,NaN,NaN,NaN,8.61878773803994,21.4314209115281,265926,144,288589
01-Sep-2013,5.95359415376921,16.5769312669198,2734352,2747304,0.941803096872679,168964,170873,387,409,0.000133295858941982,NaN,NaN,NaN,NaN,2903316,2918177,9.38582584927763,23.9864135407136,272272,268,310119,310869,5.66938404271446,16.802123965721,820396,165,848363,851181,NaN,NaN,NaN,9.14884513441878,21.8768171021378,283640,174,310091
01-Oct-2013,5.58896353214778,16.6502562964607,2742336,2776214,0.941657684472072,169907,175282,257,461,8.82481303929651e-05,NaN,NaN,NaN,NaN,2912243,2951496,9.19631537242472,23.8478392721759,296021,257,336217,339605.666666667,5.129969592081,16.870235814783,900677,224,932104,940670.952380952,NaN,NaN,NaN,8.97236105930623,21.9246090534979,307118,178,336193
01-Nov-2013,5.7053000649108,16.7360441568033,2705480,2739358,0.939686967829507,173649,179024,214,418,7.43280346243604e-05,NaN,NaN,NaN,NaN,2879129,2918382,8.8835115161082,23.8444957983193,283626,223,322227,325321,5.11727486756916,17.0172898926324,848502,134,879710,887532,NaN,NaN,NaN,8.72029320987654,22.0809869375907,293140,152,322197
01-Dec-2013,6.2798081244866,16.9580650566423,2695700,2748295,0.935956246814409,184456,191769,316,520,0.000109716279257096,NaN,NaN,NaN,NaN,2880156,2940064,8.40571111490524,23.5010582010582,240196,165,269715,274711.19047619,4.88290846190135,16.5930246247425,739866,66,764921,776601.952380952,NaN,NaN,NaN,8.2753896430367,21.9363144963145,246617,109,269708
01-Jan-2014,6.23276490066225,17.0949460956327,2715719,2768314,0.934736523996749,189612,196925,430,634,0.00014800379027381,NaN,NaN,NaN,NaN,2905331,2965239,9.64918786620188,24.9003239740821,286375,305,328754,334249.80952381,5.75322542810228,17.0998942454963,885835,223,920033,932882.047619048,NaN,NaN,NaN,9.42566051393413,23.3201592832255,296918,237,328715
01-Feb-2014,5.41210818936029,17.0762524020199,2719650,2810846,0.934200786272351,191555,201407,539,743,0.000185146700421303,NaN,NaN,NaN,NaN,2911205,3012253,9.66683669132024,24.8534135559921,260945,323,299229,307949.995670996,4.74837257962735,17.1413790322581,795478,176,826670,839956.233766234,NaN,NaN,NaN,9.50403823965716,23.4162924424972,270167,263,300837
01-Mar-2014,5.46437465481749,16.8675658376711,2729396,2855762,0.93747222166885,182046,196518,488,692,0.000167614536027165,NaN,NaN,NaN,NaN,2911442,3052280,8.84987780333525,25.0490157480315,278082,348,319413,329653.645454545,4.82412411060074,17.1265885498584,840196,193,873254,890592.895454546,NaN,NaN,NaN,8.75394299455407,23.953095463138,286862,290,321190
01-Apr-2014,5.87207614419517,16.2897720863575,2831337,2919102,0.937494350373215,188774,200707,516,720,0.00017085464739541,NaN,NaN,NaN,NaN,3020111,3119809,8.71379492600423,24.6364670954973,261532,300,298747,303028.904761905,5.00865159906521,16.9243548387097,816658,166,848190,857187.142857143,NaN,NaN,NaN,8.59053681780954,23.4654986522911,268608,236,298682
01-May-2014,6.22136292903491,16.90503703956,2903097,2990862,0.937411545437432,193832,205765,572,776,0.000184699100302267,NaN,NaN,NaN,NaN,3096929,3196627,9.26530530046722,25.3614822546973,265798,376,301901,306182.904761905,5.53683467574525,16.8566297117517,825424,189,855875,864872.142857143,NaN,NaN,NaN,9.13682620448402,24.3069169960474,271802,319,301822
01-Jun-2014,5.77517521473327,16.8921232841587,2939344,3014157,0.937262124628838,196752,206776,594,776,0.000189407467118354,NaN,NaN,NaN,NaN,3136096,3220933,9.52367036820573,25.2104914933837,276972,332,318083,322579,5.43418896347421,17.2022448115205,881406,252,916466,925913,NaN,NaN,NaN,9.36199113591596,23.9055658627087,284495,267,318078
01-Jul-2014,5.863412427806,17.1745443374974,2864937,3008461,0.933128246885433,205313,219579,532,730,0.000173275791873626,NaN,NaN,NaN,NaN,3070250,3228040,9.00490583953157,24.8503119800333,285891,369,329444,339717.333333333,5.24577643696412,17.4225370889451,898797,199,938084,970282.904761905,NaN,NaN,NaN,8.85389323108686,23.7774439461883,293990,292,329460
01-Aug-2014,6.43984236337589,17.29656572152,2878288,3021812,0.931326554549793,212237,226503,490,688,0.000158549113823703,NaN,NaN,NaN,NaN,3090525,3248315,9.08912440747697,25.7025891548608,243435,390,285493,294426.333333333,5.49555963864645,17.6780593061015,740727,259,776523,804522.047619048,NaN,NaN,NaN,8.93796088489901,24.6047055730809,250955,324,285634
01-Sep-2014,6.20227724243442,17.058084414176,2795366,3002866,0.934518394898164,195871,221739,362,646,0.000121020166573227,NaN,NaN,NaN,NaN,2991237,3224605,9.73524239180303,25.8179775280899,275296,344,322665,336176.666666667,5.97717067151133,17.8821801171165,862269,158,906729,953812.352380952,NaN,NaN,NaN,9.53389322135573,24.5322460595446,284738,265,322664
01-Oct-2014,5.806746680509,17.2455940956324,2801516,3009016,0.932003861730872,204390,230258,381,665,0.000126750470573597,NaN,NaN,NaN,NaN,3005906,3239274,9.52616373697917,25.1466341463415,284770,293,330235,346849.015151515,5.40985193235074,17.904713127832,887597,113,933443,989032.277489177,NaN,NaN,NaN,9.3286282306163,23.7829560017087,293729,224,330247
01-Nov-2014,5.82391332938778,17.0937294400296,2790268,2997768,0.933119483335552,199990,225858,362,646,0.000121059788152059,NaN,NaN,NaN,NaN,2990258,3223626,9.30053703109971,25.5869773519164,268173,265,315240,326861.255411255,5.41243494393275,18.301198000882,828839,95,875313,911409.597402597,NaN,NaN,NaN,9.17168841439304,24.5567440821795,275631,206,315243
01-Dec-2014,6.54531670738226,17.4616731610684,2718870,2939263,0.928444543701813,209544,235551,399,684,0.000136251226773264,NaN,NaN,NaN,NaN,2928414,3174814,8.51936266309803,23.8506947557149,246786,162,279866,295081.818181818,5.13744476329642,17.6376906028369,783711,121,821097,869626.527272727,NaN,NaN,NaN,8.41547609216285,22.7862254443405,252310,136,279865
01-Jan-2015,6.65041424778243,17.6531667598981,2706862,2900439,0.925725151288711,217183,241244,440,725,0.000150476480355124,NaN,NaN,NaN,NaN,2924045,3141683,9.86780546623794,25.3871655328798,260213,225,303346,316644.818181818,6.08523702971327,18.0138236267372,847819,890,892977,934408.527272727,NaN,NaN,NaN,9.69637916040794,24.2599014778325,268880,166,303288
01-Feb-2015,5.56983166303203,17.2916911814546,2725305,2918882,0.930705860536785,202908,226969,442,727,0.000150945303500804,NaN,NaN,NaN,NaN,2928213,3145851,10.1832225913621,26.0891045548654,256214,198,302795,315460.541125541,5.15032133397021,18.3795879039431,801810,134,847183,886641.597402597,NaN,NaN,NaN,10.0284193284193,25.089661756683,263185,155,302731
01-Mar-2015,5.55915276081615,17.2280579658288,2800845,2980034,0.931479737947379,206032,229259,475,751,0.000157971210661427,NaN,NaN,NaN,NaN,3006877,3209293,9.20888966971188,26.1723031406463,283791,228,334830,348762.095238095,5.03274961227471,17.9304451456963,885466,382,931546,974950.457142857,NaN,NaN,NaN,9.08834716459198,25.3775303643725,290391,180,334836
01-Apr-2015,5.92121535085353,16.5449034963013,2821088,3056227,0.933358742661733,201424,229068,413,713,0.000136641310274368,NaN,NaN,NaN,NaN,3022512,3285295,9.11056838365897,25.9960344003822,249141,185,292265,310722.359307359,5.45829766999525,17.8742372457486,805734,141,847010,900393.142857143,NaN,NaN,NaN,9.00438736439055,25.0690027700831,255640,147,292208
01-May-2015,6.01417014828549,17.0223791759927,2965989,3163090,0.934868485958167,206638,229475,634,752,0.000199834395912283,NaN,NaN,NaN,NaN,3172627,3392565,9.36119139370584,26.3283530042918,251104,193,290407,304433.729437229,5.45489468803815,17.556758158838,788093,128,825082,866010.307142857,NaN,NaN,NaN,9.2571963958217,25.5637340153453,256040,152,290346
01-Jun-2015,6.01732809782173,17.2047200766299,2980377,3170254,0.932205340735817,216748,239737,751,868,0.000234898541658521,NaN,NaN,NaN,NaN,3197125,3409991,9.46220579966262,26.5361542192047,281526,212,328558,344635.318295739,5.56961806339035,17.8908525454668,922856,186,970355,1015543.12932331,NaN,NaN,NaN,9.3400331701153,25.6567280848688,288084,166,328565
01-Jul-2015,5.96584270150614,17.3832224595667,3027537,3216814,0.928679796959796,232507,255626,786,903,0.000241101040354057,NaN,NaN,NaN,NaN,3260044,3472440,9.22712945879459,25.8228583916084,280791,180,329048,345544.014581909,5.40046070196002,18.3372389945471,906373,262,957260,1004570.95338346,NaN,NaN,NaN,9.09445748466722,24.9383816529641,287935,139,329050
01-Aug-2015,6.46865597710428,17.6178229228672,3080794,3245148,0.925982287638768,246261,267329,739,855,0.00022211835993093,NaN,NaN,NaN,NaN,3327055,3512477,9.21940726577438,26.3857941834452,241656,201,284505,298053.891398457,5.56354760269523,18.7150542049934,777815,199,823429,862913.124223602,NaN,NaN,NaN,9.09052865317277,25.5008823529412,247528,162,284508
01-Sep-2015,6.52046858136467,17.6909052090684,3058504,3222858,0.92516754933313,247388,268456,756,872,0.000228682606691326,NaN,NaN,NaN,NaN,3305892,3491314,9.75874013210891,27.0929358237548,265547,192,319678,334581.780538302,6.10172467685292,19.5132789115646,893991,169,954036,997468.536645963,NaN,NaN,NaN,9.59260718789407,26.1918654580153,273423,137,319676
01-Oct-2015,6.15846593003677,17.8067204766689,3059956,3247054,0.923367261030022,253954,285760,868,987,0.0002619262442251,NaN,NaN,NaN,NaN,3313910,3532814,9.73168675714406,27.133927621075,263475,268,317631,333594.780538302,5.74632092117949,19.7900871898055,890021,352,952445,1003470.53664596,1485369,1605078.33333333,NaN,NaN,NaN,NaN,NaN,NaN
01-Nov-2015,6.05571071835527,17.7590121460466,3055104,3242202,0.923966357277008,251406,283212,835,954,0.000252532126018067,NaN,NaN,NaN,NaN,3306510,3525414,9.36771143407459,27.3082923558337,260022,346,315252,330490.154150198,5.67103676422658,20.1748562392179,894358,442,961821,1010527.19407115,1450031,1564299,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec-2015,6.7400129868373,18.1558796418611,3026929,3226069,0.918388901159982,268983,303445,758,934,0.000229981868447944,NaN,NaN,NaN,NaN,3295912,3529514,8.83289241622575,26.5945272353546,231392,215,276499,293251.154150198,5.34333436156121,19.9880494110888,811149,261,869867,920233.194071146,1351414,1465682,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2016,6.84575506743885,18.0043588611785,3027654,3226794,0.919951991735286,263446,297908,728,904,0.000221202637416061,NaN,NaN,NaN,NaN,3291100,3524702,10.1675613142064,28.2333850931677,238458,328,294532,310486.432523998,6.30006789489137,20.9273254040866,850230,372,919231,967198.803877282,1434066,1542892.66666667,NaN,NaN,NaN,NaN,NaN,NaN
01-Feb-2016,5.8520817673639,17.9276983803876,3082332,3281472,0.921220793915935,263589,298051,692,868,0.000206818989450139,NaN,NaN,NaN,NaN,3345921,3579523,10.2173198373562,28.4781514581373,245560,302,304310,321062.154150198,5.39522152349553,20.4959841384282,868738,433,937170,987536.194071146,1505461,1619729,NaN,NaN,NaN,NaN,NaN,NaN
01-Mar-2016,6.35475014473875,18.4631199778332,3205842,3346700,0.914753915930371,298753,328598,871,1024,0.000248530857345856,NaN,NaN,NaN,NaN,3504595,3675298,9.27933305887196,28.3839178082192,244545,305,302982,312704.881422925,5.32802929643193,20.5082572030921,879984,541,949840,983749.830434783,1572127,1646658,NaN,NaN,NaN,NaN,NaN,NaN
01-Apr-2016,6.57392590205063,18.50911156017,3300705,3452534,0.915945028396556,302901,333626,886,1039,0.000245864836499884,NaN,NaN,NaN,NaN,3603606,3786160,9.62461206896552,29.1761467889908,236115,320,297893,308803.881422925,5.8611505738503,21.1153543925821,869205,504,944132,980336.830434783,1583739,1665094,NaN,NaN,NaN,NaN,NaN,NaN
01-May-2016,6.42348515499238,18.1594524271845,3359901,3511730,0.918204682052696,299306,330031,1009,1162,0.000275742804383573,NaN,NaN,NaN,NaN,3659207,3841761,9.97520587974852,29.8062104237701,242810,362,302719,313110.315640881,5.80966794109318,21.2831689062766,897361,616,969422,1003902.79089027,1550496,1627976.95238095,NaN,NaN,NaN,NaN,NaN,NaN
01-Jun-2016,6.45809703442211,18.4172962588971,3320719,3506201,0.915329665089443,307175,341472,942,1099,0.000259654774919003,NaN,NaN,NaN,NaN,3627894,3847673,9.80707106963388,30.150454775139,253379,452,319870,334744.547204969,5.94408874448532,20.9747345294764,935106,591,1015819,1063784.2699793,1601725,1700917.44761905,NaN,NaN,NaN,NaN,NaN,NaN
01-Jul-2016,6.58757423038291,18.7582387703576,3344181,3529663,0.912542551406192,320504,354801,1077,1234,0.000293886104808462,NaN,NaN,NaN,NaN,3664685,3884464,9.70697263901147,30.0909408773045,238850,494,303324,316542.781422925,5.88353746000221,21.6545384399551,853297,589,934935,978795.380434783,1532038,1626721.7,NaN,NaN,NaN,NaN,NaN,NaN
01-Aug-2016,6.96162606812648,18.8995076304167,3355134,3540616,0.908855337679773,336470,370767,1062,1219,0.000287679826980359,NaN,NaN,NaN,NaN,3691604,3911383,9.69130434782609,29.8852420856611,239004,533,302101,315949.247204969,5.9392750540671,22.0806147341031,875130,1456,958983,1004931.9699793,1532416,1631608.44761905,NaN,NaN,NaN,NaN,NaN,NaN
01-Sep-2016,6.90486625113622,19.1282096318625,3354034,3539516,0.905864019143408,348546,382843,1185,1342,0.000320047102290835,NaN,NaN,NaN,NaN,3702580,3922359,10.4502408434063,30.9040610328638,242876,580,315355,329203.247204969,6.54563724342465,22.5702830836883,910528,1230,1009191,1055139.9699793,1588655,1687847.44761905,NaN,NaN,NaN,NaN,NaN,NaN
01-Oct-2016,6.52772433297017,19.3240543585073,3394756,3523839,0.904109559854757,360050,379929,1428,1576,0.000380312591382884,NaN,NaN,NaN,NaN,3754806,3903768,10.2661672672103,31.3908414571575,240558,622,312640,322763.690513834,6.1615981046737,23.2668014649779,908674,1751,1013311,1048358.47134387,1573928,1654905.65454545,NaN,NaN,NaN,NaN,NaN,NaN
01-Nov-2016,6.4734403300689,19.3171044829986,3367511,3485623,0.904961483836379,353654,372653,1234,1382,0.000331616577066591,NaN,NaN,NaN,NaN,3721165,3858276,10.0576923076923,31.2454922279793,259122,690,337542,345444.199585921,6.04690277948917,23.351261829653,983991,1849,1098028,1127172.11283644,1657024,1724422.25714286,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec-2016,7.17370513672066,20.0277748049052,3278063,3433169,0.897050517367637,376205,400653,1227,1377,0.00033577176058242,NaN,NaN,NaN,NaN,3654268,3833822,9.31053274931242,30.6742209631728,217654,638,276739,285461.908714474,5.64426676393235,22.9047821299355,809979,1480,896033,928435.829851308,1398622,1460906.8008658,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2017,7.18960022748889,19.7492489875429,3252604,3405696,0.89966877205017,362731,387034,1345,1495,0.000372026382064179,NaN,NaN,NaN,NaN,3615335,3792730,10.5972581240768,32.278431372549,235955,773,308824,317779.445454545,6.66476757962227,23.8225340517887,932861,1818,1040446,1073430.84090909,1588726,1651534.04090909,NaN,NaN,NaN,NaN,NaN,NaN
01-Feb-2017,6.19666017854803,19.7507895324321,3296902,3437952,0.899809743397856,367097,388744,1583,1676,0.000432041602631442,NaN,NaN,NaN,NaN,3663999,3826696,10.8774238875878,32.7092623405435,224974,931,298154,305241.090909091,5.82539164490862,23.3031093638313,880694,949,979860,1009693.18181818,1532687,1595916.70562771,NaN,NaN,NaN,NaN,NaN,NaN
01-Mar-2017,6.17832523189132,19.5126349853485,3372306,3513356,0.902933544819809,362527,384174,1528,1621,0.000409121371691853,NaN,NaN,NaN,NaN,3734833,3897530,10.1440171835708,32.8333507579718,258332,970,342772,350922.154545455,5.55393268224625,22.7910952630202,1005564,1073,1113270,1147578.15909091,1787232,1850942.20909091,NaN,NaN,NaN,NaN,NaN,NaN
01-Apr-2017,6.79696962186367,19.9627884495603,3399969,3541019,0.898878427434866,382488,404135,1568,1661,0.0004145453603306,NaN,NaN,NaN,NaN,3782457,3945154,9.66455830764324,32.7072715143429,201069,799,267398,273776.381818182,5.57443033414393,22.7181267866151,810160,1160,895428,922277.863636364,1436983,1486843.16363636,NaN,NaN,NaN,NaN,NaN,NaN
01-May-2017,7.10148396141147,19.3793542645241,3445317,3586367,0.904036143424405,365722,387369,1651,1744,0.000433215194071748,NaN,NaN,NaN,NaN,3811039,3973736,10.054210721573,32.9511552928533,237633,1131,310147,319480.778787879,6.12044444444444,23.0310583657587,970436,1684,1066156,1105089.84090909,1666097,1724267.19090909,NaN,NaN,NaN,NaN,NaN,NaN
01-Jun-2017,6.64279904863648,19.5012108641975,3459659,3615594,0.902601287194556,373328,397317,1542,1743,0.000402297216244146,NaN,NaN,NaN,NaN,3832987,4012911,10.305388017692,33.2199573430835,237751,1103,312486,323833.577777778,5.86866555409352,22.4264882943144,971963,968,1071856,1116024.5,1711834,1779515.62857143,NaN,NaN,NaN,NaN,NaN,NaN
01-Jul-2017,6.58397154407793,19.7688477544059,3460415,3616350,0.898558428116416,390659,414648,1642,1843,0.000426374564601979,NaN,NaN,NaN,NaN,3851074,4030998,9.82800075728891,33.2561055127445,227912,1056,299378,310209.778787879,5.77029257056417,22.5746876287244,930938,1229,1032594,1074754.84090909,1625701,1690306.19090909,NaN,NaN,NaN,NaN,NaN,NaN
01-Aug-2017,7.07057032742818,20.5326602223296,3474471,3630406,0.894049203094319,411748,435737,1734,1935,0.000446192044246606,NaN,NaN,NaN,NaN,3886219,4066143,9.7428961472343,32.5655580192166,222954,1015,294326,305673.577777778,5.83469083301897,23.0168602919273,924939,1109,1028474,1064671.16666667,1612863,1680544.62857143,NaN,NaN,NaN,NaN,NaN,NaN
01-Sep-2017,7.19150525962236,20.3237301530282,3415529,3621399,0.891015313176636,417771,449702,1778,1980,0.000463830120261915,NaN,NaN,NaN,NaN,3833300,4071101,10.3739593908629,33.1431760204082,217576,1061,290222,304127.415151515,6.36075136035982,23.7085061617072,908818,834,1015252,1064525.79545455,1568564,1652262.00909091,NaN,NaN,NaN,NaN,NaN,NaN
01-Oct-2017,6.69121534195933,20.255412372408,3393766,3624308,0.893085269734822,406281,441547,1519,1728,0.00039973189805284,NaN,NaN,NaN,NaN,3800047,4065855,10.387380741615,33.3473209249859,234281,1107,312193,327417.085714286,6.01550371720564,23.405088650007,973422,879,1087855,1149771.16666667,1669601,1770332.72380952,NaN,NaN,NaN,NaN,NaN,NaN
01-Nov-2017,6.60948090062824,20.1917126184485,3330962,3585185,0.894794498468812,391638,435440,1449,1671,0.000389244076720572,NaN,NaN,NaN,NaN,3722600,4020625,10.0034215558016,33.2865374112507,238467,858,316437,332403.60952381,5.91712074547895,23.6959047619047,989847,846,1110170,1176938.5,1644925,1754641.77142857,NaN,NaN,NaN,NaN,NaN,NaN
01-Dec-2017,7.4433837645123,21.3129446705533,3321954,3520138,0.881780339689212,445372,475790,1748,1842,0.000463989577753558,NaN,NaN,NaN,NaN,3767326,3995928,9.20899686155992,32.0978783026421,193089,547,250115,260252.931168831,5.61549058935554,23.3974311111111,786006,622,875280,918499.386363636,1336987,1409959.67489178,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2018,7.56179549619662,21.2700014622876,3289620,3501481,0.881823833063528,440853,482475,1869,2119,0.000501008853300909,NaN,NaN,NaN,NaN,3730473,3983956,10.1837271644162,33.1993690851735,223360,740,294364,306592.236090226,6.56473937801139,24.3670355967694,978058,792,1098573,1150904.34210526,1657878,1748859.46566416,NaN,NaN,NaN,NaN,NaN,NaN
01-Feb-2018,6.59491265533428,21.3877308310992,3309184,3518355,0.879275935670021,454349,495763,2235,2485,0.000593856889258046,NaN,NaN,NaN,NaN,3763533,4014118,10.5554263565891,34.1234812286689,204707,713,275294,285923.209842789,5.61967260005721,24.0834232845027,862680,813,966604,1012504.26315789,1522794,1604294.94964684,NaN,NaN,NaN,NaN,NaN,NaN
01-Mar-2018,6.92806614544325,21.873190080935,3361133,3570304,0.872474505595712,491281,532695,2756,3006,0.000715395593516169,NaN,NaN,NaN,NaN,3852414,4102999,9.57604166666667,34.4081387591728,210847,869,283332,294492.670334928,5.42190035562614,23.8092837165941,889663,891,996080,1044275.27631579,1633324,1718899.99712919,NaN,NaN,NaN,NaN,NaN,NaN
